complaint_id,customer_id,state_id,category_id,complaint_date,status,resolution_date,description,priority_level
166,3760,1,1,2024-05-03,Open,,Complaint description 48,Low
167,4009,5,2,2024-12-06,In Progress,,Complaint description 49,High
168,3377,1,2,2023-07-10,Open,,Complaint description 50,High
169,3154,6,2,2023-10-31,Resolved,2023-08-09,Complaint description 51,Medium
170,3151,5,4,2023-09-06,In Progress,,Complaint description 52,Low
171,4034,5,2,2024-09-27,In Progress,,Complaint description 53,Medium
172,3805,3,5,2024-04-01,Resolved,2025-11-23,Complaint description 54,Medium
173,3202,4,3,2025-09-26,Resolved,2025-02-23,Complaint description 55,Medium
174,3308,2,2,2024-01-19,Resolved,2024-05-04,Complaint description 56,Low
175,3650,6,2,2023-07-19,Open,,Complaint description 57,Medium
176,2,3,1,2024-02-28,Resolved,2024-08-20,Complaint description 58,High
177,3305,6,1,2023-08-24,Resolved,2024-01-22,Complaint description 59,Medium
178,3120,6,2,2025-06-28,In Progress,,Complaint description 60,Medium
179,3309,2,1,2025-04-27,Resolved,2023-02-07,Complaint description 61,High
180,3483,4,2,2023-08-11,Open,,Complaint description 62,Medium
181,3713,4,1,2023-07-08,In Progress,,Complaint description 63,Medium
182,3665,2,2,2025-07-03,Resolved,2025-04-08,Complaint description 64,High
183,3112,2,3,2024-06-05,In Progress,,Complaint description 65,Low
184,3520,2,4,2024-09-23,Resolved,2024-03-15,Complaint description 66,High
185,3515,5,3,2023-03-30,In Progress,,Complaint description 67,Medium
186,3972,3,3,2024-10-21,Open,,Complaint description 68,Medium
187,3955,3,3,2025-09-06,Resolved,2025-10-18,Complaint description 69,High
188,3581,2,3,2025-08-29,Resolved,2025-03-09,Complaint description 70,Low
189,3831,6,3,2024-03-28,Resolved,2024-11-01,Complaint description 71,Medium
190,4012,1,2,2023-07-23,In Progress,,Complaint description 72,Medium
191,3509,2,2,2023-09-22,Open,,Complaint description 73,High
192,3353,6,5,2023-04-22,Resolved,2024-05-21,Complaint description 74,High
193,3126,4,3,2023-12-02,Resolved,2025-09-30,Complaint description 75,Medium
194,3420,6,1,2023-10-05,In Progress,,Complaint description 76,Low
195,3675,3,2,2024-10-09,Open,,Complaint description 77,High
196,3244,6,5,2025-12-26,Open,,Complaint description 78,Low
197,4033,4,5,2024-07-15,Resolved,2025-01-19,Complaint description 79,Medium
198,3529,4,3,2023-08-12,In Progress,,Complaint description 80,Medium
199,3868,6,1,2023-04-11,Resolved,2023-07-07,Complaint description 81,High
200,3610,1,5,2025-08-11,Resolved,2024-06-25,Complaint description 82,High
201,3401,6,2,2024-05-20,Resolved,2025-08-15,Complaint description 83,High
202,3405,1,5,2024-08-22,In Progress,,Complaint description 84,High
203,3457,5,2,2023-12-28,Resolved,2024-03-08,Complaint description 85,High
204,3626,6,5,2024-03-19,Resolved,2023-03-25,Complaint description 86,Medium
205,3340,4,4,2023-08-10,In Progress,,Complaint description 87,High
206,3591,6,5,2023-08-10,Resolved,2025-11-17,Complaint description 88,High
207,3528,5,4,2025-07-23,Open,,Complaint description 89,High
208,3517,6,4,2025-09-03,In Progress,,Complaint description 90,High
209,3567,5,4,2025-09-14,In Progress,,Complaint description 91,High
210,3553,3,2,2023-01-26,In Progress,,Complaint description 92,Medium
211,3270,3,5,2024-12-23,In Progress,,Complaint description 93,Low
212,3547,6,3,2024-09-27,In Progress,,Complaint description 94,Medium
213,3371,6,2,2025-08-31,In Progress,,Complaint description 95,Medium
214,3488,5,3,2023-11-05,Resolved,2024-01-20,Complaint description 96,Medium
215,3348,5,2,2023-02-14,Open,,Complaint description 97,High
216,3190,2,4,2023-02-04,Open,,Complaint description 98,High
217,3425,2,1,2025-11-01,Resolved,2024-09-23,Complaint description 99,Low
218,3863,5,3,2025-03-23,Resolved,2025-01-12,Complaint description 100,High
219,3134,6,3,2023-08-31,Resolved,2024-10-04,Complaint description 101,Low
220,3180,3,1,2024-12-17,Open,,Complaint description 102,Medium
221,3333,4,2,2024-05-20,Resolved,2023-03-25,Complaint description 103,Medium
222,3680,6,3,2023-02-04,Open,,Complaint description 104,Medium
223,3051,2,4,2023-09-30,Resolved,2025-07-07,Complaint description 105,High
224,3226,2,3,2024-12-17,Open,,Complaint description 106,High
225,3722,1,1,2024-01-13,Resolved,2024-04-08,Complaint description 107,Medium
226,3446,3,2,2024-07-11,Resolved,2023-10-17,Complaint description 108,High
227,3063,3,1,2025-11-21,Resolved,2023-03-29,Complaint description 109,Low
228,3175,1,2,2025-03-14,In Progress,,Complaint description 110,Low
229,3530,3,4,2024-02-25,Open,,Complaint description 111,Low
230,3969,2,5,2023-07-19,Open,,Complaint description 112,Medium
231,3875,4,1,2023-01-01,In Progress,,Complaint description 113,Low
232,3244,4,5,2024-01-17,Resolved,2025-04-03,Complaint description 114,High
233,3553,5,5,2023-10-16,Resolved,2024-07-16,Complaint description 115,Low
234,3546,4,5,2024-05-17,In Progress,,Complaint description 116,High
235,3390,3,1,2023-08-07,In Progress,,Complaint description 117,Low
236,3937,3,4,2023-01-09,In Progress,,Complaint description 118,Medium
237,3190,2,2,2024-08-06,In Progress,,Complaint description 119,Medium
238,3932,1,2,2024-11-29,Resolved,2023-04-13,Complaint description 120,Low
239,3948,5,4,2025-08-18,In Progress,,Complaint description 121,Medium
240,3473,3,3,2025-11-17,In Progress,,Complaint description 122,Low
241,3324,3,3,2025-01-20,Resolved,2023-04-08,Complaint description 123,High
242,3852,1,1,2024-12-29,In Progress,,Complaint description 124,Medium
243,3758,5,5,2025-02-14,Open,,Complaint description 125,High
244,3482,1,3,2025-12-14,In Progress,,Complaint description 126,Low
245,3430,1,5,2023-10-23,Open,,Complaint description 127,Medium
246,3637,6,3,2024-01-28,Open,,Complaint description 128,High
247,3601,5,3,2023-01-10,Open,,Complaint description 129,High
248,3695,2,5,2025-09-04,Resolved,2024-04-28,Complaint description 130,High
249,3254,5,3,2025-11-07,Open,,Complaint description 131,Low
250,3515,3,2,2023-08-31,Open,,Complaint description 132,Medium
251,3692,6,5,2023-09-02,Open,,Complaint description 133,High
252,3479,6,4,2025-08-06,Open,,Complaint description 134,High
253,3425,1,4,2023-04-28,In Progress,,Complaint description 135,Medium
254,3055,1,3,2024-10-04,Open,,Complaint description 136,High
255,3046,4,5,2025-07-05,In Progress,,Complaint description 137,High
256,3406,2,4,2025-06-23,In Progress,,Complaint description 138,Low
257,3594,2,3,2024-06-01,Open,,Complaint description 139,High
258,3159,4,2,2025-04-12,Resolved,2025-12-07,Complaint description 140,High
259,3705,6,5,2024-07-20,Open,,Complaint description 141,Medium
260,3202,1,1,2024-11-13,Resolved,2024-08-01,Complaint description 142,High
261,3387,2,2,2023-07-07,Resolved,2025-08-09,Complaint description 143,High
262,3923,6,4,2024-09-04,Resolved,2023-11-22,Complaint description 144,High
263,3899,6,4,2023-07-18,Open,,Complaint description 145,Medium
264,3560,5,5,2025-12-10,Open,,Complaint description 146,High
265,3659,4,1,2025-04-11,Resolved,2023-01-09,Complaint description 147,High
266,3248,3,5,2025-10-03,Open,,Complaint description 148,Low
267,3673,5,5,2024-02-03,In Progress,,Complaint description 149,Medium
268,3209,4,4,2025-10-13,Resolved,2023-08-24,Complaint description 150,Low
269,3689,4,1,2025-06-20,In Progress,,Complaint description 151,Low
270,3473,3,1,2024-05-27,In Progress,,Complaint description 152,Low
271,3919,4,5,2023-07-01,Resolved,2025-07-23,Complaint description 153,Medium
272,3541,3,2,2024-11-14,Resolved,2023-01-23,Complaint description 154,Low
273,3926,4,4,2023-10-28,Open,,Complaint description 155,High
274,3111,4,2,2024-01-25,Open,,Complaint description 156,Low
275,3546,4,1,2024-11-10,In Progress,,Complaint description 157,High
276,3643,3,4,2024-05-22,Resolved,2024-08-08,Complaint description 158,Low
277,3293,5,1,2025-09-12,Resolved,2023-07-03,Complaint description 159,Medium
278,3192,1,5,2023-07-16,Resolved,2023-05-12,Complaint description 160,Low
279,3878,2,1,2024-04-15,Resolved,2023-11-25,Complaint description 161,Low
280,3074,2,2,2023-10-06,Open,,Complaint description 162,Medium
281,3174,4,5,2025-06-22,Open,,Complaint description 163,Low
282,3772,4,2,2023-11-18,Open,,Complaint description 164,Medium
283,3345,6,3,2025-10-07,In Progress,,Complaint description 165,Low
284,3342,4,5,2024-08-14,Open,,Complaint description 166,High
285,3491,4,2,2025-10-01,Resolved,2024-12-29,Complaint description 167,Low
286,3547,5,5,2025-09-23,Resolved,2023-11-21,Complaint description 168,Medium
287,3470,5,2,2025-05-18,Open,,Complaint description 169,High
288,3489,6,2,2024-05-28,Resolved,2023-05-04,Complaint description 170,Low
289,3537,6,3,2025-05-22,In Progress,,Complaint description 171,Medium
290,3622,1,3,2023-06-03,Resolved,2023-02-01,Complaint description 172,High
291,3068,1,3,2024-09-22,Open,,Complaint description 173,High
292,3683,3,2,2023-06-26,Open,,Complaint description 174,High
293,3552,4,5,2023-07-10,Open,,Complaint description 175,Medium
294,4013,5,4,2025-05-03,Resolved,2024-07-08,Complaint description 176,Low
295,3342,6,3,2025-09-24,In Progress,,Complaint description 177,Low
296,3953,2,3,2025-12-19,Open,,Complaint description 178,Low
297,3437,2,5,2024-12-16,Resolved,2024-06-19,Complaint description 179,Medium
298,3705,1,3,2025-03-10,In Progress,,Complaint description 180,High
299,3989,1,5,2024-04-24,Open,,Complaint description 181,High
300,3568,2,2,2023-09-20,Resolved,2025-02-03,Complaint description 182,High
301,3295,1,3,2025-02-09,In Progress,,Complaint description 183,High
302,3993,4,4,2024-10-16,Open,,Complaint description 184,Low
303,3420,1,2,2024-12-24,In Progress,,Complaint description 185,Medium
304,3849,1,5,2023-10-27,Open,,Complaint description 186,Medium
305,3607,4,1,2025-08-27,In Progress,,Complaint description 187,Low
306,3762,6,4,2025-09-01,In Progress,,Complaint description 188,Medium
307,3576,3,1,2025-05-20,In Progress,,Complaint description 189,Medium
308,3953,5,5,2023-12-22,Open,,Complaint description 190,Medium
309,3716,2,2,2025-11-27,Open,,Complaint description 191,Medium
310,3086,2,3,2024-07-19,Open,,Complaint description 192,Low
311,3696,5,5,2023-03-03,Open,,Complaint description 193,Medium
312,3420,6,4,2024-12-17,Resolved,2023-02-16,Complaint description 194,Low
313,3355,4,5,2025-11-28,Open,,Complaint description 195,High
314,3707,4,3,2025-02-20,In Progress,,Complaint description 196,Low
315,3758,3,2,2023-03-16,Resolved,2024-04-24,Complaint description 197,Medium
316,3493,6,5,2023-08-16,In Progress,,Complaint description 198,Medium
317,3570,1,4,2024-02-25,In Progress,,Complaint description 199,Low
318,3608,2,5,2025-01-04,Resolved,2024-12-26,Complaint description 200,Low
319,3819,6,3,2024-04-26,Open,,Complaint description 201,Low
320,3620,4,5,2025-10-16,Open,,Complaint description 202,Medium
321,3136,6,1,2023-03-23,Resolved,2025-04-09,Complaint description 203,Low
322,3172,3,1,2025-05-24,Open,,Complaint description 204,Medium
323,3733,5,4,2025-03-25,Resolved,2024-02-20,Complaint description 205,High
324,3544,3,2,2024-05-30,In Progress,,Complaint description 206,Medium
325,3400,6,1,2023-06-07,Resolved,2025-12-18,Complaint description 207,High
326,3066,2,3,2023-03-31,In Progress,,Complaint description 208,Low
327,3456,4,3,2023-04-01,Open,,Complaint description 209,High
328,3128,5,5,2023-04-19,In Progress,,Complaint description 210,Medium
329,4012,2,5,2024-06-14,In Progress,,Complaint description 211,Medium
330,3348,6,1,2025-03-26,Open,,Complaint description 212,Medium
331,3266,2,2,2023-08-08,Open,,Complaint description 213,High
332,3799,2,1,2025-03-07,Resolved,2025-06-30,Complaint description 214,High
333,4012,2,4,2024-01-28,In Progress,,Complaint description 215,Medium
334,3505,6,2,2025-07-11,In Progress,,Complaint description 216,Low
335,3865,2,2,2023-01-27,In Progress,,Complaint description 217,Medium
336,3997,2,1,2025-05-31,Open,,Complaint description 218,Medium
337,3486,2,3,2024-08-13,Resolved,2024-07-05,Complaint description 219,Medium
338,3928,2,1,2023-11-19,Open,,Complaint description 220,High
339,3800,5,1,2025-03-01,In Progress,,Complaint description 221,Low
340,3710,6,3,2023-04-17,Resolved,2024-11-30,Complaint description 222,High
341,3128,1,4,2025-03-24,Resolved,2023-05-11,Complaint description 223,Medium
342,3130,1,3,2023-09-05,Resolved,2023-07-11,Complaint description 224,Low
343,3235,3,3,2023-07-19,Resolved,2024-01-27,Complaint description 225,Low
344,3179,3,1,2023-08-22,Open,,Complaint description 226,High
345,3119,6,1,2023-08-31,Resolved,2024-01-14,Complaint description 227,Low
346,3697,4,4,2023-08-26,In Progress,,Complaint description 228,Medium
347,3516,5,1,2024-09-12,Open,,Complaint description 229,Low
348,3882,6,2,2023-10-29,Resolved,2025-04-06,Complaint description 230,High
349,3415,3,1,2024-05-09,Resolved,2023-05-22,Complaint description 231,High
350,3046,6,5,2023-02-06,Resolved,2025-06-05,Complaint description 232,Medium
351,3708,2,4,2025-05-17,Open,,Complaint description 233,Medium
352,3527,6,1,2023-12-19,Open,,Complaint description 234,Low
353,5,4,2,2024-07-17,Open,,Complaint description 235,Medium
354,3948,4,1,2023-02-14,Open,,Complaint description 236,High
355,3564,1,4,2024-09-05,Resolved,2023-01-06,Complaint description 237,Low
356,3849,1,1,2024-03-19,Resolved,2025-02-18,Complaint description 238,High
357,3178,3,2,2024-05-25,In Progress,,Complaint description 239,High
358,3047,3,5,2023-08-28,Resolved,2023-01-15,Complaint description 240,High
359,3943,2,1,2023-08-16,Open,,Complaint description 241,Medium
360,3377,5,5,2025-12-06,Resolved,2025-07-18,Complaint description 242,Medium
361,3976,3,4,2023-05-10,Open,,Complaint description 243,High
362,3718,6,2,2024-03-19,Resolved,2023-09-26,Complaint description 244,Medium
363,3922,4,4,2023-05-09,Resolved,2024-09-10,Complaint description 245,High
364,3059,1,4,2025-10-07,In Progress,,Complaint description 246,Low
365,3260,6,3,2024-08-26,Open,,Complaint description 247,Low
366,3681,3,5,2025-09-28,In Progress,,Complaint description 248,Medium
367,3348,1,1,2025-07-17,In Progress,,Complaint description 249,High
368,3238,2,2,2025-02-09,Resolved,2025-09-26,Complaint description 250,High
369,3819,5,5,2024-06-30,Resolved,2024-02-29,Complaint description 251,Low
370,3329,3,1,2024-04-07,Open,,Complaint description 252,Low
371,3311,3,5,2024-03-31,In Progress,,Complaint description 253,High
372,3308,6,2,2024-04-24,Resolved,2023-11-22,Complaint description 254,High
373,3806,6,2,2023-04-22,Open,,Complaint description 255,High
374,3481,4,5,2025-01-03,In Progress,,Complaint description 256,Low
375,3188,6,2,2025-08-25,In Progress,,Complaint description 257,Low
376,3952,2,5,2023-09-14,Resolved,2023-12-22,Complaint description 258,Low
377,3779,5,5,2025-09-19,Resolved,2023-04-17,Complaint description 259,High
378,3376,5,4,2025-10-02,In Progress,,Complaint description 260,Medium
379,3657,1,2,2024-05-07,Resolved,2023-05-13,Complaint description 261,High
380,3206,4,2,2024-11-24,Open,,Complaint description 262,High
381,3925,3,1,2023-10-18,In Progress,,Complaint description 263,Low
382,3250,5,3,2023-11-29,In Progress,,Complaint description 264,High
383,1,2,2,2024-02-07,Resolved,2024-03-15,Complaint description 265,Low
384,3298,4,3,2025-01-20,Open,,Complaint description 266,Medium
385,3096,4,1,2024-02-22,Resolved,2025-07-09,Complaint description 267,High
386,3156,2,1,2024-11-10,In Progress,,Complaint description 268,Low
387,3110,4,2,2024-10-10,Resolved,2024-05-13,Complaint description 269,High
388,3739,2,4,2023-03-04,Resolved,2024-04-23,Complaint description 270,Low
389,3079,2,1,2025-07-27,Open,,Complaint description 271,High
390,3851,5,1,2023-11-18,Open,,Complaint description 272,Low
391,3434,1,4,2023-12-30,In Progress,,Complaint description 273,Medium
392,3749,5,4,2025-01-20,Resolved,2025-01-03,Complaint description 274,Medium
393,3810,1,1,2025-01-28,Resolved,2023-01-29,Complaint description 275,Medium
394,3405,4,3,2023-02-07,In Progress,,Complaint description 276,High
395,3457,5,5,2023-11-28,Resolved,2025-03-08,Complaint description 277,Low
396,3138,6,2,2023-04-03,Open,,Complaint description 278,High
397,3783,1,1,2025-07-19,Open,,Complaint description 279,Medium
398,3836,1,1,2024-01-01,Resolved,2023-08-28,Complaint description 280,High
399,3897,2,5,2023-05-06,Open,,Complaint description 281,Low
400,3565,1,4,2025-01-03,Resolved,2025-04-01,Complaint description 282,Medium
401,3163,6,1,2025-12-08,Resolved,2025-11-23,Complaint description 283,High
402,3040,2,5,2023-03-24,In Progress,,Complaint description 284,Low
403,3535,6,4,2023-04-20,Resolved,2024-09-29,Complaint description 285,Medium
404,3864,5,5,2025-11-25,In Progress,,Complaint description 286,Medium
405,3091,5,1,2024-07-01,Open,,Complaint description 287,Low
406,3194,4,1,2023-03-21,In Progress,,Complaint description 288,Medium
407,3792,1,3,2025-08-06,Open,,Complaint description 289,Low
408,3788,1,5,2023-02-04,Open,,Complaint description 290,Medium
409,3505,3,5,2023-03-15,Resolved,2025-09-30,Complaint description 291,High
410,3228,5,1,2024-08-07,Resolved,2024-05-06,Complaint description 292,High
411,3952,2,4,2024-11-03,Resolved,2023-12-02,Complaint description 293,Low
412,3724,2,3,2025-04-06,Resolved,2025-01-31,Complaint description 294,Medium
413,5,3,1,2025-11-17,In Progress,,Complaint description 295,Low
414,3681,3,5,2025-10-16,Open,,Complaint description 296,Low
415,3980,5,1,2025-11-16,Open,,Complaint description 297,Medium
416,1,5,3,2025-04-20,In Progress,,Complaint description 298,Medium
417,3109,6,1,2023-03-06,In Progress,,Complaint description 299,High
418,3045,2,4,2025-01-19,Resolved,2023-09-19,Complaint description 300,Medium
419,3289,2,4,2023-03-22,Resolved,2025-08-21,Complaint description 301,Medium
420,3363,4,2,2023-01-14,In Progress,,Complaint description 302,Low
421,3441,6,1,2024-11-11,Resolved,2025-02-10,Complaint description 303,Medium
422,3134,6,1,2023-02-03,In Progress,,Complaint description 304,High
423,3198,3,1,2024-12-15,Open,,Complaint description 305,High
424,3449,6,3,2025-04-13,In Progress,,Complaint description 306,Medium
425,3375,4,2,2023-07-31,Resolved,2024-12-07,Complaint description 307,High
426,3086,3,3,2025-01-26,Open,,Complaint description 308,High
427,3344,6,2,2024-05-20,In Progress,,Complaint description 309,Low
428,3055,4,5,2023-08-12,Resolved,2025-06-07,Complaint description 310,Low
429,3884,5,5,2025-08-29,In Progress,,Complaint description 311,High
430,3419,2,3,2024-04-18,Resolved,2025-06-28,Complaint description 312,High
431,4011,2,5,2025-06-22,Open,,Complaint description 313,High
432,3989,5,5,2025-10-15,In Progress,,Complaint description 314,Low
433,3449,3,2,2025-09-27,Open,,Complaint description 315,Low
434,3435,1,3,2023-02-07,Resolved,2023-04-12,Complaint description 316,Low
435,3164,1,1,2023-02-06,Open,,Complaint description 317,Medium
436,3768,5,5,2025-08-29,Open,,Complaint description 318,Medium
437,3678,3,4,2024-03-20,In Progress,,Complaint description 319,Low
438,1,1,3,2023-03-30,Open,,Complaint description 320,Low
439,3689,2,5,2024-05-17,Open,,Complaint description 321,Low
440,4002,2,5,2025-08-15,Resolved,2024-07-06,Complaint description 322,Low
441,3732,1,4,2023-08-09,Open,,Complaint description 323,Low
442,3185,6,1,2025-02-04,Resolved,2023-04-09,Complaint description 324,High
443,4026,2,5,2023-01-04,In Progress,,Complaint description 325,Low
444,3892,5,2,2023-08-03,Resolved,2023-02-21,Complaint description 326,Low
445,3140,3,3,2024-06-07,In Progress,,Complaint description 327,Medium
446,3784,2,1,2023-05-08,In Progress,,Complaint description 328,Medium
447,3729,5,2,2025-12-04,Open,,Complaint description 329,High
448,3389,3,3,2025-02-21,In Progress,,Complaint description 330,Low
449,3763,1,4,2023-06-09,Open,,Complaint description 331,Low
450,3414,3,5,2023-12-09,Open,,Complaint description 332,High
451,3418,1,2,2025-02-07,Open,,Complaint description 333,Medium
452,3803,2,2,2024-01-23,Open,,Complaint description 334,High
453,4019,2,1,2023-03-26,In Progress,,Complaint description 335,High
454,3358,5,2,2023-09-09,In Progress,,Complaint description 336,Low
455,3239,4,2,2024-01-26,Open,,Complaint description 337,Medium
456,3137,6,1,2025-11-22,In Progress,,Complaint description 338,Low
457,3748,1,4,2024-10-08,Open,,Complaint description 339,Low
458,3762,1,4,2023-10-08,Open,,Complaint description 340,Medium
459,3588,3,3,2023-02-22,Resolved,2023-11-05,Complaint description 341,Medium
460,3194,4,4,2023-04-24,Open,,Complaint description 342,High
461,3138,3,1,2023-10-02,In Progress,,Complaint description 343,Medium
462,3126,6,2,2023-01-31,Open,,Complaint description 344,High
463,3969,1,2,2025-09-09,In Progress,,Complaint description 345,Low
464,3253,3,5,2023-02-26,Resolved,2023-04-11,Complaint description 346,High
465,3042,6,4,2023-05-29,In Progress,,Complaint description 347,Low
466,3086,4,3,2023-11-25,Open,,Complaint description 348,Low
467,4005,6,3,2023-08-05,Open,,Complaint description 349,Medium
468,3371,5,4,2025-11-03,Open,,Complaint description 350,High
469,3894,2,2,2024-09-25,Open,,Complaint description 351,High
470,3357,3,3,2023-11-06,In Progress,,Complaint description 352,High
471,3178,2,5,2025-09-05,Resolved,2024-07-21,Complaint description 353,Low
472,3601,4,5,2025-02-23,Resolved,2025-01-13,Complaint description 354,Low
473,3997,4,5,2023-05-29,Resolved,2024-11-11,Complaint description 355,Medium
474,3997,2,2,2024-04-21,Open,,Complaint description 356,High
475,3200,1,4,2023-05-24,In Progress,,Complaint description 357,High
476,3701,5,4,2023-05-12,Open,,Complaint description 358,High
477,3622,4,2,2024-11-16,In Progress,,Complaint description 359,Medium
478,3074,2,1,2023-02-07,Open,,Complaint description 360,High
479,4010,2,4,2024-09-01,Open,,Complaint description 361,High
480,3564,1,4,2024-02-12,Resolved,2025-04-02,Complaint description 362,Medium
481,3890,6,2,2024-05-23,Open,,Complaint description 363,Medium
482,3742,5,5,2023-08-03,Resolved,2025-05-24,Complaint description 364,High
483,3862,4,4,2025-10-12,Open,,Complaint description 365,Low
484,3640,3,4,2025-10-24,Resolved,2023-04-21,Complaint description 366,High
485,3696,6,4,2024-05-30,In Progress,,Complaint description 367,Low
486,3310,5,3,2023-10-05,Resolved,2025-11-30,Complaint description 368,Low
487,3593,4,4,2025-12-28,Resolved,2024-07-23,Complaint description 369,Medium
488,4026,1,2,2025-05-13,Open,,Complaint description 370,Low
489,3876,6,1,2024-05-24,Resolved,2024-10-14,Complaint description 371,Medium
490,3468,3,3,2024-05-12,Resolved,2024-10-30,Complaint description 372,High
491,3394,2,4,2024-09-06,Resolved,2025-11-30,Complaint description 373,Low
492,3402,4,5,2025-03-13,Open,,Complaint description 374,Low
493,3285,4,3,2025-01-17,In Progress,,Complaint description 375,Medium
494,3166,2,4,2023-12-26,In Progress,,Complaint description 376,Low
495,4002,1,2,2023-10-08,Resolved,2023-10-11,Complaint description 377,Medium
496,3559,4,4,2025-06-27,Open,,Complaint description 378,Medium
497,3458,4,3,2025-09-30,Resolved,2024-06-14,Complaint description 379,Low
498,3944,4,4,2023-06-27,Open,,Complaint description 380,High
499,3694,3,2,2024-03-23,In Progress,,Complaint description 381,Medium
500,3508,1,3,2023-03-19,In Progress,,Complaint description 382,Low
501,3883,3,5,2023-06-12,Resolved,2024-07-05,Complaint description 383,Low
502,3199,4,1,2024-08-29,Open,,Complaint description 384,Medium
503,3188,1,2,2024-04-14,Resolved,2023-03-07,Complaint description 385,Medium
504,3080,5,3,2023-06-22,Resolved,2025-07-16,Complaint description 386,Low
505,3179,5,2,2023-03-25,In Progress,,Complaint description 387,Low
506,3850,4,2,2025-06-09,In Progress,,Complaint description 388,High
507,4009,4,2,2025-10-02,Resolved,2025-04-05,Complaint description 389,Medium
508,3194,3,4,2025-06-13,Open,,Complaint description 390,Low
509,3148,4,3,2025-09-14,In Progress,,Complaint description 391,Low
510,3673,5,2,2023-11-28,In Progress,,Complaint description 392,Low
511,3801,5,2,2025-07-02,In Progress,,Complaint description 393,Low
512,3990,6,1,2024-03-02,Resolved,2025-08-15,Complaint description 394,Medium
513,3248,5,3,2025-07-16,Open,,Complaint description 395,Medium
